epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,675.641,1.09223,3.3625,1.39406,0.40167,0.53583,0.46921,0.34518,0.97043,2.70605,1.16381,0.000109832,0.000109832,0.000109832
2,1159.29,0.91014,2.30829,1.22921,0.52037,0.68572,0.7114,0.56795,0.88394,1.90741,1.09953,0.000216459,0.000216459,0.000216459
3,1584.17,0.90215,1.99511,1.20957,0.61223,0.68719,0.78912,0.6104,0.92677,1.64034,1.16749,0.000318691,0.000318691,0.000318691
4,2007.85,0.87838,1.76674,1.19751,0.7671,0.68574,0.82921,0.62799,1.05457,1.40961,1.20103,0.00031322,0.00031322,0.00031322
5,2431.81,0.84789,1.5757,1.1605,0.644,0.75426,0.86115,0.68733,0.90937,1.20658,1.11779,0.000306626,0.000306626,0.000306626
6,2852.78,0.84869,1.44792,1.15564,0.77738,0.70513,0.86441,0.70707,0.80378,1.17459,1.04713,0.000300033,0.000300033,0.000300033
7,3277.7,0.8116,1.32704,1.14313,0.83319,0.80475,0.87704,0.70793,0.85032,0.90425,1.03796,0.00029344,0.00029344,0.00029344
8,3760.29,0.79477,1.26911,1.13232,0.82075,0.7711,0.89613,0.69636,0.94093,1.00149,1.11539,0.000286846,0.000286846,0.000286846
9,4231.24,0.79516,1.19688,1.12803,0.8162,0.77875,0.93238,0.78278,0.71497,0.88722,0.98152,0.000280253,0.000280253,0.000280253
10,4712.77,0.77043,1.09856,1.10782,0.86885,0.79933,0.90716,0.73385,0.84738,0.91208,1.05746,0.000273659,0.000273659,0.000273659
11,5151.4,0.74886,1.07874,1.0977,0.85775,0.84879,0.92656,0.76613,0.77805,0.77759,1.02479,0.000267066,0.000267066,0.000267066
12,5589.41,0.7575,1.08008,1.10347,0.84479,0.84872,0.94146,0.74942,0.86799,0.7961,1.08507,0.000260473,0.000260473,0.000260473
13,6038.02,0.74293,1.01368,1.09441,0.85962,0.86826,0.91602,0.73389,0.85342,0.76743,1.05019,0.000253879,0.000253879,0.000253879
14,6498.85,0.73364,0.97136,1.0848,0.84285,0.87456,0.93968,0.75321,0.86118,0.79956,1.0591,0.000247286,0.000247286,0.000247286
15,6940.14,0.72577,0.93031,1.08472,0.85989,0.89408,0.95185,0.77694,0.83538,0.67489,1.04658,0.000240692,0.000240692,0.000240692
16,7393.37,0.70101,0.9076,1.06951,0.80143,0.87206,0.93864,0.77602,0.76567,0.7591,1.00994,0.000234099,0.000234099,0.000234099
17,7837.38,0.70577,0.86577,1.07329,0.88446,0.87297,0.93656,0.75456,0.8418,0.68563,1.04428,0.000227506,0.000227506,0.000227506
18,8275.33,0.69515,0.83062,1.06953,0.88342,0.84641,0.93279,0.74356,0.87004,0.69146,1.07129,0.000220912,0.000220912,0.000220912
19,8712.06,0.69655,0.83259,1.06488,0.90173,0.85701,0.94346,0.75083,0.91419,0.71709,1.08128,0.000214319,0.000214319,0.000214319
20,9158.45,0.68615,0.8114,1.05477,0.84282,0.87427,0.94716,0.7821,0.80754,0.70782,1.02184,0.000207725,0.000207725,0.000207725
21,9600.08,0.68396,0.82116,1.0558,0.87542,0.87508,0.94879,0.77392,0.82346,0.63663,1.04081,0.000201132,0.000201132,0.000201132
22,10037.1,0.68315,0.82384,1.06396,0.87304,0.87907,0.92918,0.78401,0.76098,0.6423,0.99819,0.000194539,0.000194539,0.000194539
23,10467.4,0.67568,0.78145,1.04779,0.91935,0.8751,0.95463,0.79225,0.78401,0.56782,1.00759,0.000187945,0.000187945,0.000187945
24,10898,0.66157,0.73735,1.04374,0.91808,0.89786,0.94358,0.7912,0.74091,0.56964,0.98768,0.000181352,0.000181352,0.000181352
25,11329.5,0.6592,0.76113,1.03918,0.93226,0.88349,0.94859,0.78499,0.79298,0.53552,1.00868,0.000174758,0.000174758,0.000174758
26,11758,0.6391,0.71808,1.03533,0.88856,0.8865,0.94668,0.77171,0.85239,0.64372,1.05097,0.000168165,0.000168165,0.000168165
27,12189.4,0.63949,0.68395,1.02897,0.92012,0.89021,0.9608,0.77337,0.86699,0.56064,1.04879,0.000161572,0.000161572,0.000161572
28,12645,0.62391,0.66365,1.03076,0.90358,0.8688,0.94193,0.75471,0.86796,0.64072,1.05859,0.000154978,0.000154978,0.000154978
29,13095.7,0.63217,0.68195,1.02988,0.89549,0.86291,0.93579,0.76124,0.83993,0.67421,1.03595,0.000148385,0.000148385,0.000148385
30,13543.4,0.62582,0.63736,1.02449,0.89943,0.89268,0.94498,0.80995,0.70972,0.52455,0.95891,0.000141791,0.000141791,0.000141791
31,13987.7,0.61171,0.62153,1.02007,0.91513,0.91802,0.95646,0.77766,0.84547,0.50946,1.04561,0.000135198,0.000135198,0.000135198
32,14434.8,0.61007,0.62162,1.02025,0.91856,0.87722,0.94612,0.78727,0.79189,0.56496,1.00784,0.000128605,0.000128605,0.000128605
33,14901,0.60214,0.60463,1.02168,0.93124,0.89046,0.95557,0.78723,0.82773,0.52942,1.01155,0.000122011,0.000122011,0.000122011
34,15344.3,0.60237,0.59997,1.01569,0.93524,0.89904,0.96466,0.78743,0.84137,0.50582,1.02083,0.000115418,0.000115418,0.000115418
35,15787.5,0.59324,0.58093,1.01342,0.94438,0.89322,0.95857,0.79567,0.78024,0.49385,0.99682,0.000108824,0.000108824,0.000108824
36,16227,0.59539,0.58256,1.00848,0.92802,0.89951,0.95202,0.80126,0.7639,0.49351,0.98559,0.000102231,0.000102231,0.000102231
37,16671.1,0.57001,0.5484,0.99929,0.93444,0.90186,0.95331,0.79875,0.77234,0.51733,0.99272,9.56376e-05,9.56376e-05,9.56376e-05
38,17096.6,0.57612,0.54687,0.99954,0.9329,0.88075,0.95561,0.77725,0.87553,0.53249,1.06245,8.90442e-05,8.90442e-05,8.90442e-05
39,17530.9,0.58084,0.52811,1.00135,0.93124,0.90037,0.95111,0.77636,0.85709,0.51037,1.05519,8.24508e-05,8.24508e-05,8.24508e-05
40,17965,0.57263,0.54435,1.00486,0.91993,0.89884,0.95995,0.81954,0.70168,0.51024,0.95928,7.58574e-05,7.58574e-05,7.58574e-05
41,18400.4,0.41516,0.27379,0.90678,0.93648,0.89683,0.9671,0.79896,0.81535,0.49395,1.02417,6.9264e-05,6.9264e-05,6.9264e-05
42,18871.9,0.40992,0.25083,0.89425,0.93508,0.90606,0.96331,0.80612,0.76657,0.48907,1.00095,6.26706e-05,6.26706e-05,6.26706e-05
43,19291,0.40528,0.24752,0.89757,0.9423,0.90183,0.95864,0.79289,0.80601,0.49326,1.01526,5.60772e-05,5.60772e-05,5.60772e-05
44,19703.5,0.3959,0.24238,0.89611,0.93214,0.90214,0.96152,0.82141,0.70588,0.47023,0.97051,4.94838e-05,4.94838e-05,4.94838e-05
45,20525.9,0.38997,0.2389,0.89312,0.92559,0.90792,0.97401,0.82095,0.75333,0.48791,0.9828,4.28904e-05,4.28904e-05,4.28904e-05
46,20937.2,0.37902,0.23265,0.88033,0.92626,0.90504,0.9669,0.81763,0.73767,0.47029,0.97402,3.6297e-05,3.6297e-05,3.6297e-05
47,21379.8,0.37152,0.22556,0.88941,0.9301,0.89496,0.96654,0.8116,0.74544,0.48558,0.97881,2.97036e-05,2.97036e-05,2.97036e-05
48,21869.5,0.37054,0.22154,0.88002,0.94024,0.88746,0.9657,0.80148,0.78333,0.4845,1.00458,2.31102e-05,2.31102e-05,2.31102e-05
49,22336.2,0.36096,0.21806,0.87676,0.93996,0.8899,0.96253,0.82467,0.70619,0.46652,0.96261,1.65168e-05,1.65168e-05,1.65168e-05
50,22803,0.36134,0.21576,0.87601,0.93625,0.88633,0.96186,0.81964,0.70633,0.4711,0.96404,9.9234e-06,9.9234e-06,9.9234e-06
